wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
Gg28je7afRBUkog1DRSnRfene1zM9cuhnVdJKXVJWt3Q,solana,79229.53,79229.53,0,0.9413,1820,230.26,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
6DsWvNKdueV1qavdfKZVzqSwJFxfD1PhCpjJweLNDu99,solana,78433.26,78813.18,-379.92,0,135,1230.07,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
iPUp3qkm39ycMGbywWFMUyvaDhiiPGXeWXaDtmHNe6C,solana,77084.5,78688.34,-1603.85,0.5629,1167,347.18,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
E9cnYgPfwbDmd5qXs4r3h3g9gWERRrz2cgJ9AbPoiucR,solana,331439.06,78642.5,252796.55,0.3086,445,337.3,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
DkTX9a4npZXFtmwLBEeu85oEPKd48JzgoxRqBCXVqBk1,solana,-54351.53,78466.37,-132817.9,0,400,644.6,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
5RQ1UWATaMjjXC34BW6UusEUdEoCuNRECBW8nnHPiCGH,solana,73231.91,78408.82,-5176.91,0.9352,2587,212.46,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
AiLwAtCzPnQh6GnJ1UiMi9vqNniV3QyTM4rueKYNjPwN,solana,67971.77,77430.33,-9458.56,0.6408,3159,200.8,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
7xVEAo8m7Md3fiywzinKFzxrC1GjHJackXFo46nxbCTD,solana,488.94,77129.44,-76640.5,0.1667,458,4660.38,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
YcizJbRZQ1HwWSUPbSFx1gPYAym8G8k8pRGnR7L3eN8,solana,153245.26,76643.48,76601.78,0,90,5246.34,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
EX4kQcPVL8rgA5AyjNvnB35uFTwzESZUvprqWBbjEqbp,solana,61126.48,76326.9,-15200.42,0.0625,1084,1018.38,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
Ffa8szcDeD8NYtW1rU8HGg2rMzBh2Q9e5Er3tBGKwRPf,solana,76058.1,76058.1,0,0.2143,200,2883.06,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
